project_key,bucket_key,bucket_name,bucket_seq,project_name,type,status,flag,headline,predecessors,successors,budget,budget_established,authorization,fee_basis,apas_role,budget_note,parties,regulatory_driver,scope,deliverables
STM-11,STM,Stormwater Management,01,"Stormwater Lift Station — Adequacy Assessment, Siting & Design",Design,Not started,,"Determine whether the pumping capacity serving the pond is adequate, whether it is in the right place, and design what it should be.",STM-10,,TBD,no,Proposal to be issued,Lump sum — fixed fee proposal,APAS self-performed,"Fixed-fee professional services — assessment, siting and design. Construction proposed separately once the design is set.",APAS · Engineer of Record,SFWMD ERP · Miami-Dade Chapter 24 · flood protection level of service,"Assess the existing lift station: condition, capacity, controls, power supply and reliability. | Evaluate its location relative to the retention pond and to the modelled inflow points. | Determine required firm capacity against the modelled design storms. | Evaluate siting alternatives where relocation is indicated. | Produce design drawings and specifications for the selected configuration, including wet well, pumps, controls, standby power and telemetry. | Establish the permitting pathway and prepare permit-ready documents.",Adequacy and condition assessment report | Siting alternatives evaluation with recommendation | Signed and sealed design drawings and specifications | Permit-ready submittal package
STM-12,STM,Stormwater Management,01,Retention Pond Design & Reconfiguration,Design,Not started,,"Design the pond to the storage volume the model requires, not the volume it happens to have.",STM-10,,TBD,no,Proposal to be issued,Lump sum — fixed fee proposal,APAS self-performed,Fixed-fee professional services — design and permitting. Construction proposed separately once quantities are set.,APAS · Engineer of Record,SFWMD ERP · Miami-Dade Chapter 24 allowable discharge rate,"Design the pond to the target storage volume and stage-storage relationship established by the hydraulic model. | Design side slopes, safety shelf, littoral zone and maintenance access. | Design the outfall control structure — weir, orifice and discharge rate — to the permitted allowable discharge. | Integrate with the lift station design and confirm combined performance. | Prepare permit-ready drawings, calculations and specifications.",Signed and sealed pond design drawings | Stage-storage-discharge calculations | Control structure design | Permit submittal package
STM-13,STM,Stormwater Management,01,"Site Regrading & Recontouring — Design, Permit & Construct",Design · Permit · Construct,Not started,,Reshape the ground so that water goes where the model says it should go.,STM-10,STM-15,TBD,no,Proposal to be issued,Lump sum professional services + subcontracted work at cost plus 10% overhead and 10% profit,Hybrid — APAS professional services + subcontract,"Design and permitting on a fixed fee; construction procured and administered by APAS. Scope is entirely determined by the model, so the construction proposal follows STM-10.",APAS · Engineer of Record · General contractor,Miami-Dade Chapter 24 · SFWMD ERP · City of Opa-Locka · Consent Order · FEMA,"Design regrading and recontouring to achieve the drainage patterns and hydraulic capacity established by the model. | Set finished floor protection and roadway crown elevations to the adopted level of service. | Design conveyance improvements — swales, inlets, pipe upsizing — where the model identifies capacity deficiency. | Permit through Miami-Dade DERM, SFWMD and the City of Opa-Locka. | Phase construction to maintain resident access, parking and emergency vehicle circulation throughout. | Construct, with survey verification of finished grades against design. | Restore paving, landscaping and site features.",Signed and sealed grading and drainage drawings | Approved permits | Phased construction plan with resident access maintained | Constructed improvements with as-built survey verification | Record drawings issued into the Stormwater Management Plan
STM-14,STM,Stormwater Management,01,Supplemental Stormwater Features — Exfiltration Trench & the Second Retention Area,Investigation · Design · Construct,Conditional,,"If the model says the pond and pipes are not enough, add capacity — and finally settle the question of the second retention area.",STM-10,,TBD,no,Proposal to be issued,Lump sum professional services + subcontracted work at cost plus 10% overhead and 10% profit,Hybrid — APAS professional services + subcontract,Conditional — proposed only if the model identifies a residual storage deficit. Investigation and design on a fixed fee; construction procured and administered by APAS.,APAS · Engineer of Record · Contractor,Miami-Dade Chapter 24 exfiltration criteria · SFWMD ERP,"Locate and confirm the second retention area through records, historical aerials, geophysical survey and field investigation. | If found: assess its condition, permitted status and residual storage capacity, and determine whether restoration is viable and cost-effective. | If not found: document the investigation and formally close the question so it stops appearing as an open assumption in every future analysis. | Design an exfiltration trench system sized to the residual storage deficit, using the measured hydraulic conductivity from the geotechnical work. | Compare the two options on capacity delivered, cost, permitability and long-term maintenance burden. | Permit and construct the selected option.","Second retention area investigation report — located and assessed, or formally closed out | Exfiltration trench design and calculations | Options comparison with recommendation | Permits and constructed improvements"
STM-15,STM,Stormwater Management,01,Stormwater Operations Plan,Operations · Documentation,Not started,,Turn the plan into a running operation — the same way the sewer extension was operationalized.,STM-13,,TBD,no,Proposal to be issued,Lump sum — fixed fee proposal,APAS self-performed,"Fixed-fee professional services — plan development, ProjOS configuration and staff handover.",APAS,NPDES MS4 operations and maintenance · Consent Order · Miami-Dade Chapter 24,"Define routine inspection and maintenance procedures for every asset class — catch basins, pipes, pond, control structure, lift station and any supplemental features. | Set inspection frequencies, cleaning cycles and sediment removal triggers, so storage loss is caught early rather than rediscovered in a decade. | Establish pre-storm readiness and post-storm response procedures. | Define the regulatory reporting calendar and the responsible party for each submittal. | Establish record-keeping, evidence retention and the annual system condition review. | Define performance monitoring, alarm thresholds and escalation paths. | Build the operating record into ProjOS with scheduled tasks, evidence capture and automatic compliance reporting.",Stormwater Operations Plan | Inspection and maintenance schedule by asset class | Pre-storm and post-storm response procedures | Regulatory reporting calendar with named responsibility | ProjOS operating record with scheduled tasks and evidence capture | Staff training and handover
SWR-01,SWR,Sewer Extension,02,Conveyance & Close-Out to the City of Opa-Locka,Administrative / Engineering Coordination,In progress,,"Transfer the completed sewer extension to the City so it becomes the City's asset to own, operate and maintain.",,SWR-02,TBD,no,Proposal to be issued,Lump sum — fixed fee proposal,APAS self-performed,"Fixed-fee professional services for coordination and package assembly. Excludes the Utilities Performance Security, the final-obligations cash bond, and City review fees, all of which sit with the owner.",APAS (lead) · Engineer of Record · Surveyor · Contractors · Owner's counsel,City of Opa-Locka Utilities Conveyance Checklist · Miami-Dade DERM · FDEP General Permit · Prime Contract PC-01,"Run the City of Opa-Locka Utilities Conveyance Checklist to completion, item by item, with a named owner and a date against every line. | Coordinate the Engineer of Record deliverables: signed and sealed record drawings, infiltration and exfiltration certification, Engineer's Final Payment Confirmation, FDEP sewer certification, General Permit and In-Service Letter, latitude and longitude detail sheet, and the record-drawing disk. | Coordinate the surveyor's signed and sealed as-built survey (PDF plus editable CAD) and reconcile it against the record drawings. | Coordinate the contractor's CCTV video of the constructed gravity sewer, the Sewer Report and the Master Utility Sheet, plus field completion and restoration for the City's preliminary inspection. | Close the contractor package: punch list completion, final lien waivers, material certifications, test results, permit close-outs, and asphalt and sod final quantities. | Execute and file the three twelve-month warranties by building group — Building 3 South with Building 4; Building 5 with Building 6; and Building 3 North. | Support owner's counsel on the legal and security items: Attorney's and Owner's Affidavits, Warranty Deed and Bill of Sale, UCC subordination, and the Utilities Performance Security. | Assemble, transmit and track the acceptance package through City review to written acceptance.",Completed Utilities Conveyance Checklist with evidence attached to every line | Transmittal package to the City of Opa-Locka | Executed warranty set (three building groups) | Written City acceptance and asset transfer confirmation | Retainage release documentation per the contract schedule
SWR-02,SWR,Sewer Extension,02,Master Effluent Flow Meter at the Property Discharge Point,Design · Permit · Construct,Not started,,"Install a permanent flow meter where wastewater leaves the property, so total discharge to the City pump station is a measured fact.",SWR-01,,TBD,no,Proposal to be issued,Lump sum professional services + subcontracted work at cost plus 10% overhead and 10% profit,Hybrid — APAS professional services + subcontract,"Design, permitting and commissioning on a fixed fee; structure, meter, telemetry and installation procured and administered by APAS.",APAS · Engineer of Record · Contractor · City of Opa-Locka,City of Opa-Locka wastewater discharge accounting · DERM · FDEP · I&I reduction,"Confirm the single point of discharge from the property to the City's collection system and verify there is no secondary or bypass connection. | Design a permanent metering structure — vault or dedicated manhole — sized and located for safe, permanent access and for accurate hydraulic conditions. | Select and specify the metering technology appropriate to the flow regime, with redundancy on the primary reading. | Design telemetry and continuous data logging so the record is automatic, timestamped and retrievable, not a monthly clipboard reading. | Permit through the City of Opa-Locka and Miami-Dade DERM as required. | Construct, commission and field-calibrate; establish the certified accuracy baseline. | Run a baseline infiltration and inflow study using the new meter — diurnal flow curves and wet-weather response — to quantify how much of what we discharge is groundwater and rainwater rather than sanitary flow. | Integrate the meter data feed into ProjOS for continuous monitoring and exception alerting.",Signed and sealed design drawings and specifications | Approved permits | Constructed and commissioned metering station | Calibration certificate and accuracy baseline | Baseline I&I report with wet-weather response curves | Live data feed into ProjOS
WTR-01,WTR,Water Systems,03,Water & Sewer Records and File Assessment,Investigation,Scope approved,SCOPE APPROVED,Review every available file to establish what is documented about the water and sewer systems on this property.,,WTR-02|WTR-06,"$3,000 — Lump Sum",yes,Scope approved — proposal to follow,Lump sum — fixed fee proposal,APAS self-performed,"Lump sum, scope approved. Covers the expanded all-utilities review. Agency records request and reproduction fees passed through at cost.",APAS,Miami-Dade WASD · Chapter 24 · City of Opa-Locka utility records,"Search and retrieve from the City of Opa-Locka, Miami-Dade Water and Sewer Department, DERM, RER and the building department. | Pursue original developer, architect and engineer record sets, plats, easements and utility agreements. | Retrieve permit history: water main extensions, service connections, meter installations and backflow device records. | Review historical aerials and prior construction documents for evidence of utility modifications over time. | Assess each document for reliability — sealed as-built, permit set, sketch or hearsay — and rate it accordingly. | Produce a records inventory and a gap register identifying exactly what remains unknown.",Records inventory with source and reliability rating | Gap register: what is documented and what is not | Recommendation memo on the field verification path
WTR-02,WTR,Water Systems,03,Water Distribution Field Verification & As-Built Development,Survey · Investigation,Not started,,"Establish where the water pipes actually are — from the records if they hold up, from the field if they do not.",WTR-01,WTR-03|WTR-04|WTR-05,TBD,no,Proposal to be issued,Lump sum professional services + subcontracted work at cost plus 10% overhead and 10% profit,Hybrid — APAS professional services + subcontract,Proposed against whichever path the file assessment establishes. APAS professional services on a fixed fee; survey and locating procured and administered by APAS.,APAS · Surveyor · Subsurface utility locating contractor,Miami-Dade Chapter 24 · WASD standards · Sunshine 811 · construction risk mitigation,"Path A — records adequate: field-verify at control points, reconcile against the documentation, and produce an as-built from the record set. | Path B — records inadequate: full field verification survey using electromagnetic pipe locating and ground-penetrating radar across the site. | Survey and elevate all surface appurtenances: valves, hydrants, meters, backflow devices and service points. | Pothole at critical locations and at points of future work to confirm horizontal position, depth, diameter and material. | Reconcile all field data against whatever records exist and resolve every conflict. | Produce a signed and sealed water system as-built in PDF and editable CAD. | Identify unknown, abandoned or unmapped lines and flag them for follow-up.","Signed and sealed water distribution as-built | Editable CAD (DWG/DXF) | Valve, hydrant, meter and appurtenance schedule | Potholing records with depth, diameter and material confirmed | Register of unknown or abandoned lines"
WTR-03,WTR,Water Systems,03,"Water Meter Box Program — Design, Permit & Construct",Design · Permit · Construct,Not started,,"Design, permit and build the meter boxes; the City of Opa-Locka installs its meters into them.",WTR-02,,TBD,no,Proposal to be issued,Lump sum professional services + subcontracted work at cost plus 10% overhead and 10% profit,Hybrid — APAS professional services + subcontract,Design and permitting on a fixed fee; construction procured and administered by APAS against the meter count established in WTR-02. Excludes City meters and City fees.,APAS · Engineer of Record · Contractor · City of Opa-Locka,City of Opa-Locka · Miami-Dade WASD standards · Chapter 24,"Determine meter count, sizing and locations from the as-built and from the service configuration. | Design meter box installations to City of Opa-Locka and Miami-Dade WASD standards, including box, setting, service piping and appurtenances. | Locate boxes for permanent access, safe reading and protection from vehicle traffic. | Permit through the City of Opa-Locka and WASD. | Construct with resident water service maintained; phase and notice all interruptions. | Coordinate City meter installation: schedule, inspect, witness and document. | Verify and document every installation, and record final meter numbers against service addresses.",Meter schedule with sizing and locations | Signed and sealed design drawings | Approved permits | Constructed and inspected meter boxes | City meter installation coordination and completion record | Meter number to service address register
WTR-04,WTR,Water Systems,03,"Backflow Prevention Program — Design, Permit & Install",Design · Permit · Construct,Not started,,Install backflow prevention at every required connection and enrol the devices in certified annual testing.,WTR-02,,TBD,no,Proposal to be issued,Lump sum professional services + subcontracted work at cost plus 10% overhead and 10% profit,Hybrid — APAS professional services + subcontract,"Design and permitting on a fixed fee; devices, installation and initial certification procured and administered by APAS. Annual testing thereafter carried under ongoing compliance services.",APAS · Engineer of Record · Contractor · Certified backflow tester,Miami-Dade Chapter 24 cross-connection control · City of Opa-Locka · F.A.C. 62-555 · Safe Drinking Water Act,"Survey all connections and determine the required device type and hazard classification at each. | Design installations to City of Opa-Locka and WASD standards, with permanent access and traffic protection. | Permit through the City and WASD. | Procure, install, and commission all devices. | Perform initial certification testing by a certified tester and file the results with the City. | Enrol every device in the annual testing and certification program, with the schedule and evidence capture built into ProjOS. | Build the device register: location, type, serial number, installation date and test history.",Cross-connection hazard survey and device schedule | Signed and sealed design drawings and permits | Installed and commissioned devices | Initial certification test reports filed with the City | Device register with full test history in ProjOS | Annual testing program with scheduled reminders
WTR-05,WTR,Water Systems,03,"Irrigation Well — Permit, Drill & Commission",Design · Permit · Construct,Not started,,"Put in an irrigation well to serve the common areas, and take that demand off the potable system.",WTR-02,,TBD,no,Proposal to be issued,Lump sum professional services + subcontracted work at cost plus 10% overhead and 10% profit,Hybrid — APAS professional services + subcontract,"Siting, permitting and construction management on a fixed fee; drilling, pump, controls and distribution procured and administered by APAS.",APAS · Hydrogeologist · Licensed well contractor,Miami-Dade DERM well permit · SFWMD water use permit · Chapter 24 cross-connection control,"Hydrogeologic siting: aquifer selection, expected yield, water quality and required setbacks from sanitary and environmental features. | Coordinate siting explicitly with the environmental monitoring well program so the two do not conflict. | Permit through Miami-Dade DERM and SFWMD, including water use authorisation. | Drill, develop and test the well; confirm yield and water quality. | Install pump, controls, and above-ground equipment with backflow protection. | Design and construct the irrigation distribution to the common areas, with zoning and controller. | Commission, test and hand over with an operations and maintenance manual.","Hydrogeologic siting report | DERM and SFWMD permits | Completed well with yield and water quality test results | Pump, controls and distribution system installed and commissioned | Operations and maintenance manual | Potable demand reduction baseline"
WTR-06,WTR,Water Systems,03,Non-Revenue Water Assessment & Water Balance,Analysis · Operations,For discussion,FOR DISCUSSION,Find out how much of the water this property buys never reaches a bill — and how much of that is recoverable.,WTR-01,,TBD,no,For discussion before anything is scoped,Lump sum — fixed fee proposal,APAS self-performed,Not yet scoped. APAS would like to discuss the objective and the audit period with the owner before proposing anything. A preliminary balance can be built from existing billing records; resolution improves substantially once WTR-03 metering is in and WTR-05 has taken irrigation off the potable system.,APAS,Owner operating cost · AWWA M36 · City of Opa-Locka billing reconciliation · water conservation,"Establish the system input volume from the City's master metering and billing history, and verify the accuracy of the meter producing that number. | Assemble billed consumption from the meter records and reconcile it against the input volume over a defined audit period. | Build the water balance to the AWWA M36 standard, separating unbilled authorized consumption from apparent losses and real losses. | Quantify apparent losses: meter under-registration by age and size, data handling and billing gaps, and any unauthorized or unrecorded connections. | Quantify real losses and compute the Infrastructure Leakage Index, so the result can be compared against the technical minimum for a system of this size rather than against a generic benchmark. | Run a minimum night flow analysis using continuous logging, since night-time residual flow is the most direct available indicator of leakage. | Evaluate whether dividing the site into district metered areas would be worthwhile, so future losses can be localised to a block rather than to the property as a whole. | Quantify the annual dollar value of the loss at the City's current rate, and rank the recovery measures by cost against recoverable volume. | Establish an ongoing tracking method in ProjOS so the figure is monitored continuously rather than rediscovered every few years.","AWWA M36 water balance for the audit period | Non-revenue water volume and percentage, with the dollar value at current rates | Apparent versus real loss split with the basis for each | Infrastructure Leakage Index | Minimum night flow analysis | Ranked loss-recovery recommendations with cost against recoverable volume | Ongoing non-revenue water tracking in ProjOS"
ENV-01,ENV,Environmental Services & Regulatory Compliance,04,Adjacent Property Environmental File Review & Plume Assessment,Investigation,Not started,,Review the environmental history of every property surrounding this one — the junkyards above all — and determine where contamination could be coming from.,,ENV-02,TBD,no,Proposal to be issued,Lump sum — fixed fee proposal,APAS self-performed,Fixed-fee professional services. Agency file review fees and database search costs passed through at cost.,APAS · Environmental consultant,Miami-Dade DERM Chapter 24 · FDEP Chapter 62-780 F.A.C. · owner due diligence,"Identify every adjacent and nearby property on all four sides and establish its current and historical use. | Focus the review on the junkyard and salvage operations, which are the most probable sources. | Search the regulatory databases: DERM, FDEP and EPA records — RCRA, CERCLIS, petroleum storage, dry cleaning and industrial waste files. | Retrieve and review enforcement history, contamination assessment reports and remediation records for each source property. | Review historical aerials, Sanborn maps and city directories to reconstruct site use over time. | Establish the contaminants of concern based on documented use and documented releases. | Determine the groundwater gradient and flow direction across the property from regional and site data. | Model probable plume vectors: which boundaries are downgradient of which sources, and where migration onto Glorieta Gardens would first appear.",Adjacent property environmental history report | Contaminants of concern list with the documented basis for each | Groundwater flow direction and gradient determination | Plume vector analysis with probable migration pathways | Monitoring well siting recommendation and analytical parameter list
